latitude,longitude,depth,mag,gap,rms,nst,cluster
48.953833333333,-122.86633333333,19.71,2.16,141.0,0.1,27.0,1
35.314666666667,-117.81433333333,8.89,2.08,35.0,0.14,52.0,1
52.806,-169.96666666667,3.89,0.39,278.0,0.18,4.0,2
52.815166666667,-169.89683333333,9.73,0.01,117.0,0.29,5.0,2
63.526,-148.996,0.1,2.1,45.0,0.8,33.0,2
52.823833333333,-169.88683333333,3.09,1.46,125.0,0.16,6.0,2
52.825666666667,-169.88383333333,3.08,1.46,130.0,0.12,6.0,2
38.6945,141.9444,78.789,4.4,154.0,0.72,37.0,-1
60.501,-152.118,90.6,1.2,45.0,0.7,31.0,2
35.309166666667,-117.81266666667,8.61,1.46,35.0,0.16,44.0,1
52.838833333333,-169.84633333333,2.35,0.29,191.0,0.16,5.0,2
34.901666666667,-119.60983333333,9.31,1.19,83.0,0.13,17.0,1
59.411,-152.895,80.4,1.8,80.0,0.6,78.0,-1
47.593666666667,-121.79516666667,4.11,0.0,182.0,0.01,3.0,1
63.359,-148.387,84.6,1.5,57.0,0.8,19.0,2
52.813333333333,-169.8695,3.86,0.19,153.0,0.31,5.0,2
35.309833333333,-117.81766666667,8.47,3.18,34.0,0.18,58.0,1
19.442333221436,-155.24082946777,0.28999999165535,2.62,87.0,0.300000012,28.0,-1
19.4645,-155.24683333333,28.26,2.71,49.0,0.13,51.0,-1
60.081,-152.95,114.6,1.1,104.0,0.5,30.0,-1
33.093166666667,-116.61283333333,11.13,0.84,53.0,0.22,31.0,1
57.834,-156.189,133.1,0.8,132.0,0.3,13.0,-1
37.838001251221,-122.0548324585,11.520000457764,1.11,97.0,0.05,8.0,1
52.330333333333,-173.98283333333,5.96,0.32,279.0,0.12,6.0,2
53.5285,-167.11183333333,3.62,1.09,204.0,0.33,16.0,2
34.598666666667,-118.5795,8.52,1.5,35.0,0.23,49.0,1
38.822166442871,-122.811668396,2.789999961853,1.08,62.0,0.02,18.0,1
38.815334320068,-122.77633666992,1.8400000333786,0.94,185.0,0.03,8.0,1
38.830665588379,-122.81716918945,1.7999999523163,1.3,47.0,0.02,25.0,1
38.831165313721,-122.81800079346,2.0699999332428,0.21,81.0,0.01,9.0,1
37.458332061768,-118.84649658203,3.6099998950958,1.93,130.0,0.07,26.0,1
35.356,-118.47616666667,7.34,1.49,51.0,0.17,42.0,1
60.397,-152.036,92.9,2.5,29.0,0.6,87.0,-1
-27.8038,-71.7406,10.0,5.5,97.0,1.35,70.0,-1
18.571833333333,-63.922333333333,62.92,3.31,359.0,0.14,3.0,-1
38.831001281738,-122.81783294678,1.8400000333786,1.07,51.0,0.02,16.0,1
-27.8153,-71.6744,10.0,5.1,105.0,1.42,66.0,-1
38.817665100098,-122.79416656494,3.2300000190735,1.04,72.0,0.01,15.0,1
58.371,-154.624,5.92,0.04,221.0,0.22,5.0,2
4.837,125.5183,35.164,5.1,80.0,1.0,63.0,-1
45.426,-122.8675,20.52,1.53,48.0,0.16,37.0,1
51.2484,-176.2922,10.0,3.6,207.0,0.38,21.0,2
36.528831481934,-121.14849853516,5.460000038147,2.03,47.0,0.2,32.0,1
31.602,-104.113,2.84,0.2,94.0,0.5,11.0,-1
60.37,-143.788,5.0,1.2,116.0,1.1,11.0,2
64.82,-149.267,4.3,2.6,66.0,1.0,26.0,2
38.822834014893,-122.84516906738,2.0099999904633,1.32,104.0,0.01,19.0,1
38.039333343506,-118.77633666992,4.5799999237061,1.78,180.0,0.07,19.0,1
34.277,-117.03783333333,3.45,1.17,27.0,0.16,55.0,1
34.277833333333,-117.0385,4.48,1.28,28.0,0.12,65.0,1
52.5855,-169.6413,17.264,3.6,208.0,1.63,39.0,-1
